player,img_url
Davinson Sánchez,https://fbref.com/req/202302030/images/headshots/da7b447d_2022.jpg
Matt Doherty,https://fbref.com/req/202302030/images/headshots/d557d734_2022.jpg
Pape Matar Sarr,https://fbref.com/req/202302030/images/headshots/feb5d972_2022.jpg
Bryan Gil,https://fbref.com/req/202302030/images/headshots/7b5ab7f2_2022.jpg
Japhet Tanganga,https://fbref.com/req/202302030/images/headshots/e9971f2d_2022.jpg
Arnaut Danjuma,https://fbref.com/req/202302030/images/headshots/f08490a6_2022.jpg
Lucas Moura,https://fbref.com/req/202302030/images/headshots/2b622f01_2022.jpg
Matthew Craig,https://fbref.com/req/202302030/images/headshots/bc914523_2022.jpg
Djed Spence,https://fbref.com/req/202302030/images/headshots/9bc9a519_2022.jpg
Harvey White,https://fbref.com/req/202302030/images/headshots/4d90ce8c_2022.jpg
George Abbott,
Brandon Austin,https://fbref.com/req/202302030/images/headshots/5e253986_2022.jpg
Alfie Devine,https://fbref.com/req/202302030/images/headshots/ba08056d_2022.jpg
Romaine Mundle,https://fbref.com/req/202302030/images/headshots/597610cd_2022.jpg
Yago Santiago,
David Raya,https://fbref.com/req/202302030/images/headshots/98ea5115_2022.jpg
Ben Mee,https://fbref.com/req/202302030/images/headshots/8df7a2fb_2022.jpg
Rico Henry,https://fbref.com/req/202302030/images/headshots/8a3c1dc7_2022.jpg
Mathias Jensen,https://fbref.com/req/202302030/images/headshots/0f134faf_2022.jpg
Bryan Mbeumo,https://fbref.com/req/202302030/images/headshots/6afaebf2_2022.jpg
Ivan Toney,https://fbref.com/req/202302030/images/headshots/e09f279b_2022.jpg
Ethan Pinnock,https://fbref.com/req/202302030/images/headshots/e541326e_2022.jpg
Vitaly Janelt,https://fbref.com/req/202302030/images/headshots/8449d35e_2022.jpg
Aaron Hickey,https://fbref.com/req/202302030/images/headshots/1780bb4a_2022.jpg
Christian Nørgaard,https://fbref.com/req/202302030/images/headshots/df0a4c90_2022.jpg
Yoane Wissa,https://fbref.com/req/202302030/images/headshots/2500cef9_2022.jpg
Josh Dasilva,https://fbref.com/req/202302030/images/headshots/60344e4f_2022.jpg
Mads Roerslev,https://fbref.com/req/202302030/images/headshots/57c94db2_2022.jpg
Mathias Jørgensen,https://fbref.com/req/202302030/images/headshots/0db5d2c8_2022.jpg
Mikkel Damsgaard,https://fbref.com/req/202302030/images/headshots/215f3907_2022.jpg
Kristoffer Ajer,https://fbref.com/req/202302030/images/headshots/a8c0acb7_2022.jpg
Pontus Jansson,https://fbref.com/req/202302030/images/headshots/172e52d8_2022.jpg
Frank Onyeka,https://fbref.com/req/202302030/images/headshots/2944f86f_2022.jpg
Kevin Schade,https://fbref.com/req/202302030/images/headshots/52afb588_2022.jpg
Shandon Baptiste,https://fbref.com/req/202302030/images/headshots/2886c9b5_2022.jpg
Keane Lewis-Potter,https://fbref.com/req/202302030/images/headshots/41f08ac8_2022.jpg
Saman Ghoddos,https://fbref.com/req/202302030/images/headshots/f7b1d4e0_2022.jpg
Sergi Canós,https://fbref.com/req/202302030/images/headshots/1137759d_2022.jpg
Mads Bech Sørensen,https://fbref.com/req/202302030/images/headshots/30db8574_2022.jpg
Halil Dervişoğlu,https://fbref.com/req/202302030/images/headshots/9d8cf204_2022.jpg
Matthew Cox,https://fbref.com/req/202302030/images/headshots/fea06849_2022.jpg
Tristan Crama,
Charlie Goode,https://fbref.com/req/202302030/images/headshots/7aee4dd3_2022.jpg
Michael Olakigbe,
Finley Stevens,https://fbref.com/req/202302030/images/headshots/7e003182_2022.jpg
Thomas Strakosha,https://fbref.com/req/202302030/images/headshots/339fe0e8_2022.jpg
Ryan Trevitt,
Yehor Yarmoliuk,https://fbref.com/req/202302030/images/headshots/907a5d7c_2022.jpg
Bernd Leno,https://fbref.com/req/202302030/images/headshots/2628fd2b_2022.jpg
João Palhinha,https://fbref.com/req/202302030/images/headshots/a78ff07f_2022.jpg
Antonee Robinson,https://fbref.com/req/202302030/images/headshots/289601e6_2022.jpg
Harrison Reed,https://fbref.com/req/202302030/images/headshots/803ae100_2022.jpg
Tim Ream,https://fbref.com/req/202302030/images/headshots/28b40c9c_2022.jpg
Andreas Pereira,https://fbref.com/req/202302030/images/headshots/6639e500_2022.jpg
Kenny Tete,https://fbref.com/req/202302030/images/headshots/77d7c96f_2022.jpg
Bobby Reid,https://fbref.com/req/202302030/images/headshots/0f7533cd_2022.jpg
Willian,https://fbref.com/req/202302030/images/headshots/8b9ebd03_2022.jpg
Tosin Adarabioyo,https://fbref.com/req/202302030/images/headshots/c81d773d_2022.jpg
Aleksandar Mitrović,https://fbref.com/req/202302030/images/headshots/3925dbd6_2022.jpg
Issa Diop,https://fbref.com/req/202302030/images/headshots/a712ca2b_2022.jpg
Harry Wilson,https://fbref.com/req/202302030/images/headshots/c6dc9ecd_2022.jpg
Carlos Vinícius,https://fbref.com/req/202302030/images/headshots/8b529245_2022.jpg
Neeskens Kebano,https://fbref.com/req/202302030/images/headshots/18b999f4_2022.jpg
Tom Cairney,https://fbref.com/req/202302030/images/headshots/a8748947_2022.jpg
Daniel James,https://fbref.com/req/202302030/images/headshots/c931d9f9_2022.jpg
